"","ID","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"28","TCGA-OR-A5JL-01A",0.0438733109718891,0,0.0601443125160513,0.0101713609244974,0,0.237714090162097,0,0,0,0,0,0.0423017654013616,0.127043345116065,0,0.0185266325760782,0.386427429539953,0,0.0109586657293048,0.00192315069399927,0,0.0609159363687022,0,0.045,0.123707517160299,1.03423786619957
"29","TCGA-OR-A5JQ-01A",0.0281255719004697,0.00959704795909928,0,0.184558624751139,0,0.31189976478892,0,0.00771234153025479,0.0389836670718559,0.0337589237084578,0,0.0018493144142045,0.0568195767245419,0,0.100797427589684,0.176561020005837,0,0,0.0493367195555366,0,0,0,0.145,0.0586617128607374,1.07825087694916
"30","TCGA-PK-A5HA-01A",0.00780493560834923,0,0.00623842046700381,0.0631483051896348,0,0.158910954677613,0.0173936550563585,0,0.0195130722903071,0.0177321012733911,0.0075760309813558,0,0.00734534737817632,0,0.00177778403949655,0.59820139003571,0.00516278691388539,0.0140913363722252,0.0751038797164927,0,0,0,0,0.27795737770125,0.980290213632564
"31","TCGA-OR-A5LO-01A",0,0,0.00701194084614023,0.0371365146293583,0.0647220201198451,0.356376640523607,0,0,0,0,0.0743673342357313,0.00208955106272923,0.0323496490782377,0.145741979910563,0,0.144248052988613,0,0.114814528934133,0.0211417876710426,0,0,0,0.435,0.0101405996612643,1.0916003826486
"32","TCGA-OR-A5K0-01A",0,0.00579644138687898,0.00976034246549262,0.0192271684605171,0,0.169903744946084,0,0.0920845444549599,0.0052349023924316,0,0,0.0899226324312089,0.0781212560893437,0,0,0.244704221173611,0,0.24615155928748,0,0.031390703590799,0.00770248332119372,0,0.59,-0.00341668317499586,1.09288566866484
"33","TCGA-OR-A5K6-01A",0.0427176693338066,0,0.0023643510329392,0.00731602245856382,0,0.150669608855793,0,0,0,0,0,0.0289167011937603,0.223814979452962,0.0835212024477682,0,0.162416806210859,0,0.121707033638897,0,0.146281289112498,0.030274336262153,0,0.235,0.0355331682138443,1.07331019671149
"34","TCGA-OR-A5LB-01A",0,0.0458924514352665,0.00338041115207066,0.153419619149386,0.0145534178896771,0.0479874144225501,0,0,0,0,0.0345951534168892,0,0.0626137357124289,0.157994447760333,0.00527908860199528,0.30639717384812,0,0.0456275388553203,0.0625086793015564,0,0.0597508684544072,0,0.46,0.00831850958413936,1.0812499978754
"35","TCGA-OR-A5J7-01A",0.00156574652755261,0.0170134450345549,0,0.028540528511671,0,0.434814111932587,0,0.0163860431021846,0,0,0.128451835575645,0.0366764624703873,0.0842218245670408,0.0352519641555475,0,0,0,0.217078038122829,0,0,0,0,0.44,0.00946961200772465,1.11675828151693
"36","TCGA-OR-A5LC-01A",0.092121154578331,0,0.0452434370048231,0.0407616818997733,0,0.0410475404024377,0,0.0501603723635437,0.0343442217346144,0,0.0470393868284696,0,0,0.263403282454041,0.0650542018895456,0.266337723460157,0,0,0.0378023696147098,0,0.0166846277695537,0,0.11,0.080433098311906,1.06363049152936
"37","TCGA-OR-A5JK-01A",0.0287066572371494,0,0,0.399067788522026,0,0.0590266468522643,0.0143135345433726,0.0502334865599135,0.0788467812636006,0,0,0.00252627740757747,0.105456646813075,0,0.116397994302452,0.139321696626997,0,0,0.00462724713094864,0,0.0014752427406236,0,0.1,0.0856170203949752,1.07839129911153
"38","TCGA-PK-A5H9-01A",0.0502230880463122,0,0.025571753410707,0.0713818218365587,0,0.195092257620923,0,0.0137291087890287,0,0.022300223293962,0,0.0636791008399007,0.158780053874506,0,0.041122313141589,0.219284887479889,0.0299659087870801,0.000198376989436005,0.0830150301665051,0,0.0256560757236031,0,0.435,0.00994413495902215,1.0684102019266
"39","TCGA-PK-A5H8-01A",0,0.00576918152787909,0.00789462788912435,0.0403721478446554,0,0.374781928782616,0,0,0,0,0.0214829898983949,0.095058373934987,0.127976571062214,0,0.000859360447278098,0.194631984386162,0.000746124431088977,0.00750901287699896,0,0.0995823611585227,0.00763004808837517,0.0157052876717033,0.22,0.0386080876659918,1.08234094619508
"40","TCGA-OR-A5LK-01A",0.0263658012495675,0,0.0397813872759791,0.186405164631488,0,0.214617315293266,0.00280303672939427,0.0015348116514363,0.00446376445489399,0,0,0.0125871437870802,0.0695925414192083,0,0.0272624787500535,0.24828089682551,0.0429937667666147,0,0.121090820800874,0.00222107036463448,0,0,0.03,0.13713515735829,1.02384798330444
"41","TCGA-OR-A5LP-01A",0.00357188650606584,0,0.000771595146372214,0.0394288773559886,0,0.348947637041812,0,0,0,0,0.00851512539277792,0.0197723012922296,0.141796698195694,0,0.0466733980333004,0.235636886806262,0,0.0653225185448834,0.0895630756846134,0,0,0,0.135,0.0647528329563931,1.05493035946592
"42","TCGA-OR-A5JV-01A",0.0679273198415599,0,0,0.0538829407910219,0,0.320296444579835,0.000842858151365013,0,0,0,0.0100299618458715,0.0261881635769225,0.25870800479795,0,0.0307476802665785,0.2008822482395,0,0.0019226435474842,0,0.012403462964316,0.0161682713975969,0,0.02,0.151659442266024,1.02595380644248
